horizon,specification,variable,coef,se,t_stat,p_value,ci_lower,ci_upper,n_obs,r_squared
10,base,vix,0.00032594435264605564,0.0002061361795587801,1.5812088559306592,0.11383029114160662,-7.807513519983509e-05,0.0007299638404919464,6574,0.009362065846736267
10,base,yield_spread_10y3m,-0.001766635465706671,0.0008549542163520888,-2.06635095999004,0.038795352862577966,-0.0034423149381874307,-9.095599322591166e-05,6574,0.009362065846736267
10,state_dependent,hy_ig_spread_chg,-0.012995148420609719,0.009932015271649317,-1.3084100321214807,0.1907342717452608,-0.032461540646944176,0.006471243805724742,6574,0.012604383587688228
10,state_dependent,spread_chg_x_stress,0.02042540135802844,0.01778112995937576,1.1487122249651176,0.2506746632377731,-0.0144249729667742,0.05527577568283108,6574,0.012604383587688228
10,state_dependent,stress,-0.004880704478157678,0.003720352580656156,-1.3118929919531637,0.18955624242367752,-0.01217246154603439,0.0024110525897190344,6574,0.012604383587688228
21,base,hy_ig_spread_chg,0.01086061904915117,0.01239256721719555,0.8763816938657637,0.38082256676852455,-0.01342836637254387,0.03514960447084621,6563,0.020549622649547183
21,base,vix,0.0006889684526882243,0.00032324194326648986,2.131432714844865,0.03305351011406178,5.542588559316478e-05,0.001322511019783284,6563,0.020549622649547183
21,base,yield_spread_10y3m,-0.0033490369056323253,0.0014245269656996517,-2.3509817548363903,0.018723951935006568,-0.006141058453409768,-0.000557015357854883,6563,0.020549622649547183
21,state_dependent,hy_ig_spread_chg,-0.014246998085818486,0.012640149031983506,-1.1271226351658634,0.25969063441079343,-0.039021234947724984,0.010527238776088013,6563,0.02867730145670755
21,state_dependent,spread_chg_x_stress,0.037132258867954224,0.02393748984107131,1.5512177389729345,0.1208495124661773,-0.009784359100838962,0.08404887683674742,6563,0.02867730145670755
21,state_dependent,stress,-0.011553660686428224,0.006426017047802232,-1.7979505190356913,0.07218484934259985,-0.024148422664161,0.0010411012913045543,6563,0.02867730145670755
42,base,hy_ig_spread_chg,0.010232290526098541,0.02103600133730077,0.4864180393426185,0.6266708030807437,-0.030997514473747382,0.05146209552594447,6542,0.032168799415313476
42,base,vix,0.0011312353456916185,0.00043166455179894487,2.6206352617495234,0.008776610571721683,0.000285188370763062,0.001977282320620175,6542,0.032168799415313476
42,base,yield_spread_10y3m,-0.006327013102850536,0.0020193592319787176,-3.1331785858877916,0.0017292419366917759,-0.010284884469377286,-0.002369141736323785,6542,0.032168799415313476
42,state_dependent,hy_ig_spread_chg,-0.006405855682897216,0.014832296240535987,-0.4318856351715997,0.6658245356262602,-0.035476622122376594,0.02266491075658216,6542,0.04412371808407878
42,state_dependent,spread_chg_x_stress,0.017206037627159568,0.036671085337468684,0.4691990288484671,0.638927379592049,-0.05466796890827391,0.08908004416259305,6542,0.04412371808407878
42,state_dependent,stress,-0.02072389664961263,0.010048239470369234,-2.062440560928541,0.039165811021563905,-0.04041808411957015,-0.0010297091796551035,6542,0.04412371808407878
63,base,hy_ig_spread_chg,-0.00048546136143494634,0.01855570698387647,-0.026162374834695124,0.9791278261349273,-0.03685397875751118,0.03588305603464129,6521,0.040034390551018983
63,base,vix,0.0013859721420999313,0.0005564430429030763,2.4907709059835366,0.012746628001399586,0.00029536381856202576,0.002476580465637837,6521,0.040034390551018983
63,base,yield_spread_10y3m,-0.009340766844977456,0.002469575277363531,-3.7823373640788436,0.00015536260081136502,-0.014181045445720492,-0.004500488244234421,6521,0.040034390551018983
63,state_dependent,hy_ig_spread_chg,-0.005686789183619888,0.015430405721001404,-0.36854437183592254,0.7124673657892706,-0.035929828663623445,0.02455625029638367,6521,0.056003088734753126
63,state_dependent,spread_chg_x_stress,-0.007038201816896913,0.03365493090141222,-0.20912839897114682,0.8343480056538173,-0.07300065428584901,0.05892425065205518,6521,0.056003088734753126
63,state_dependent,stress,-0.02850665350679787,0.012496942143657673,-2.281090300259195,0.022543103994862212,-0.053000210025247685,-0.004013096988348053,6521,0.056003088734753126
