signal_id,signal_col,lead_time,threshold_method,strategy_id,strategy_name,is_sharpe,is_ann_return,oos_sharpe,oos_sortino,oos_calmar,oos_max_dd,oos_ann_return,oos_ann_vol,oos_win_rate,n_trades,annual_turnover,valid
S5,ccc_bb_spread,0,T3_2.5,P1,Long/Cash,0.4263433269126586,0.0701701742047522,0.6793126274345057,0.7498663649858246,0.3033516028254619,-0.37791230705222867,0.11464030407176168,0.1687592714192766,0.5081417624521073,14,1.689655172413793,False
S5,ccc_bb_spread,0,T3_2.5,P2,Signal-Strength,0.6135032897577237,0.06304442572691484,0.6484753846044989,0.7234749605835448,0.36497717049116557,-0.16990340397503625,0.062010863639626185,0.09562562452150164,0.514367816091954,1860,224.48275862068962,False
S5,ccc_bb_spread,0,T3_2.5,P3,Long/Short,0.37641631906648865,0.07158246041223286,0.4279403370928524,0.4701328736858025,0.15085986609380525,-0.5420399405881046,0.0817720728546156,0.19108288181039848,0.5316091954022989,14,1.689655172413793,False
S5,ccc_bb_spread,1,T1_75,P1,Long/Cash,0.6655182985174908,0.08362195872112774,0.6300277129522908,0.7210888311301041,0.3590916113997286,-0.31549267324348174,0.1132907724198099,0.17981871287682372,0.5186781609195402,2,0.24137931034482757,False
S5,ccc_bb_spread,1,T1_75,P2,Signal-Strength,0.6161043210951545,0.06350535498772134,0.608868520423916,0.6765915700249996,0.3460662040354974,-0.16919170135001982,0.058551529840508904,0.09616448851673796,0.5153256704980843,1860,224.48275862068962,False
S5,ccc_bb_spread,1,T1_75,P3,Long/Short,0.5180188010758017,0.09848602944498396,0.41380547833846837,0.46887079797603454,0.16023510497049195,-0.4934811854448105,0.07907300955071202,0.19108739175761946,0.5282567049808429,2,0.24137931034482757,False
S5,ccc_bb_spread,1,T1_85,P1,Long/Cash,0.5335603508096569,0.07914272579847215,0.7725943548357259,0.9238074194313154,0.4374869004927011,-0.3371724619017907,0.14750853528890776,0.19092624009694192,0.5340038314176245,0,0.0,False
S5,ccc_bb_spread,1,T1_85,P2,Signal-Strength,0.6161043210951545,0.06350535498772134,0.608868520423916,0.6765915700249996,0.3460662040354974,-0.16919170135001982,0.058551529840508904,0.09616448851673796,0.5153256704980843,1860,224.48275862068962,False
S5,ccc_bb_spread,1,T1_85,P3,Long/Short,0.47085534144041924,0.08952756359967277,0.7725943548357259,0.9238074194313154,0.4374869004927011,-0.3371724619017907,0.14750853528890776,0.19092624009694192,0.5340038314176245,0,0.0,False
S5,ccc_bb_spread,1,T1_95,P1,Long/Cash,0.26958154548408914,0.04734837045524153,0.7725943548357259,0.9238074194313154,0.4374869004927011,-0.3371724619017907,0.14750853528890776,0.19092624009694192,0.5340038314176245,0,0.0,False
S5,ccc_bb_spread,1,T1_95,P2,Signal-Strength,0.6161043210951545,0.06350535498772134,0.608868520423916,0.6765915700249996,0.3460662040354974,-0.16919170135001982,0.058551529840508904,0.09616448851673796,0.5153256704980843,1860,224.48275862068962,False
S5,ccc_bb_spread,1,T1_95,P3,Long/Short,0.13636613457860883,0.025938852913211533,0.7725943548357259,0.9238074194313154,0.4374869004927011,-0.3371724619017907,0.14750853528890776,0.19092624009694192,0.5340038314176245,0,0.0,False
S5,ccc_bb_spread,1,T2_75,P1,Long/Cash,0.43715768762713436,0.05817070154784934,0.6179523735343482,0.6270514615472109,0.3890428442292913,-0.1952108319708102,0.07594537729429028,0.1228984312495224,0.3706896551724138,30,3.6206896551724133,True
S5,ccc_bb_spread,1,T2_75,P2,Signal-Strength,0.6161043210951545,0.06350535498772134,0.608868520423916,0.6765915700249996,0.3460662040354974,-0.16919170135001982,0.058551529840508904,0.09616448851673796,0.5153256704980843,1860,224.48275862068962,False
S5,ccc_bb_spread,1,T2_75,P3,Long/Short,0.2501786219368004,0.04758351509842716,0.022925296158807847,0.027986175483323675,0.008421570776969874,-0.520356524421392,0.004382219299672805,0.19115213471251785,0.5043103448275862,30,3.6206896551724133,True
S5,ccc_bb_spread,1,T2_85,P1,Long/Cash,0.35470435302868425,0.04952005833888216,0.5918676581481368,0.628035576210586,0.2878081342230973,-0.27614962391176273,0.07947810802445446,0.13428358000355903,0.41379310344827586,22,2.655172413793103,False
S5,ccc_bb_spread,1,T2_85,P2,Signal-Strength,0.6161043210951545,0.06350535498772134,0.608868520423916,0.6765915700249996,0.3460662040354974,-0.16919170135001982,0.058551529840508904,0.09616448851673796,0.5153256704980843,1860,224.48275862068962,False
